,date,home_team,score,away_team
473,04-07-2024,Fluminense FC,1 - 1,Internacional RS
474,07-07-2024,Internacional RS,1 - 2,Vasco da Gama
475,20-07-2024,Botafogo FR,1 - 0,Internacional RS
476,27-07-2024,EC Bahia,1 - 1,Internacional RS
477,04-08-2024,Internacional RS,1 - 1,SE Palmeiras
478,11-08-2024,Internacional RS,2 - 2,Athletico PR
479,14-08-2024,Internacional RS,2 - 1,Juventude
480,18-08-2024,Atlético GO,1 - 0,Internacional RS
481,25-08-2024,Internacional RS,1 - 0,Cruzeiro
482,28-08-2024,Cruzeiro,0 - 0,Internacional RS
483,01-09-2024,Juventude,1 - 3,Internacional RS
484,11-09-2024,Internacional RS,2 - 1,Fortaleza
485,16-09-2024,Internacional RS,3 - 0,Cuiabá
486,22-09-2024,São Paulo,1 - 3,Internacional RS
487,25-09-2024,Bragantino,2 - 2,Internacional RS
488,29-09-2024,Internacional RS,3 - 1,Vitória
489,05-10-2024,Corinthians,2 - 2,Internacional RS
490,19-10-2024,Internacional RS,1 - 0,Grêmio
491,26-10-2024,Atlético Mineiro,1 - 3,Internacional RS
492,30-10-2024,Internacional RS,1 - 1,Flamengo RJ
493,06-11-2024,Internacional RS,2 - 0,Criciúma
494,08-11-2024,Internacional RS,2 - 0,Fluminense FC
495,13-04-2024,Criciúma,1 - 1,Juventude
496,17-04-2024,Juventude,2 - 0,Corinthians
497,21-04-2024,Botafogo FR,5 - 1,Juventude
498,28-04-2024,Juventude,1 - 1,Athletico PR
499,01-06-2024,Fluminense FC,1 - 1,Juventude
500,05-06-2024,Juventude,1 - 0,Atlético GO
501,11-06-2024,Juventude,1 - 1,Vitória
502,15-06-2024,Bragantino,2 - 1,Juventude
503,19-06-2024,Juventude,2 - 0,Vasco da Gama
504,23-06-2024,SE Palmeiras,3 - 1,Juventude
505,26-06-2024,Juventude,2 - 1,Flamengo RJ
506,30-06-2024,Fortaleza,2 - 1,Juventude
507,04-07-2024,EC Bahia,2 - 0,Juventude
508,07-07-2024,Juventude,3 - 0,Grêmio
509,16-07-2024,Juventude,1 - 1,Atlético Mineiro
510,21-07-2024,Juventude,0 - 0,São Paulo
511,24-07-2024,Cruzeiro,2 - 0,Juventude
512,27-07-2024,Juventude,1 - 2,Criciúma
513,04-08-2024,Corinthians,1 - 1,Juventude
514,11-08-2024,Juventude,3 - 2,Botafogo FR
515,14-08-2024,Internacional RS,2 - 1,Juventude
516,18-08-2024,Athletico PR,1 - 2,Juventude
517,24-08-2024,Atlético GO,2 - 1,Juventude
518,01-09-2024,Juventude,1 - 3,Internacional RS
519,05-09-2024,Cuiabá,0 - 0,Juventude
520,15-09-2024,Juventude,2 - 1,Fluminense FC
521,21-09-2024,Vitória,1 - 0,Juventude
522,29-09-2024,Juventude,1 - 1,Bragantino
523,06-10-2024,Vasco da Gama,1 - 1,Juventude
524,20-10-2024,Juventude,3 - 5,SE Palmeiras
525,26-10-2024,Flamengo RJ,4 - 2,Juventude
526,02-11-2024,Juventude,0 - 3,Fortaleza
527,09-11-2024,Juventude,2 - 1,EC Bahia
528,14-04-2024,Vitória,0 - 1,SE Palmeiras
529,17-04-2024,SE Palmeiras,0 - 1,Internacional RS
530,21-04-2024,SE Palmeiras,0 - 0,Flamengo RJ
531,29-04-2024,São Paulo,0 - 0,SE Palmeiras
532,05-05-2024,Cuiabá,0 - 2,SE Palmeiras
533,12-05-2024,SE Palmeiras,0 - 2,Athletico PR
534,02-06-2024,Criciúma,1 - 2,SE Palmeiras
535,14-06-2024,SE Palmeiras,2 - 0,Vasco da Gama
536,17-06-2024,Atlético Mineiro,0 - 4,SE Palmeiras
537,21-06-2024,SE Palmeiras,2 - 1,Bragantino
538,23-06-2024,SE Palmeiras,3 - 1,Juventude
539,27-06-2024,Fortaleza,3 - 0,SE Palmeiras
540,01-07-2024,SE Palmeiras,2 - 0,Corinthians
541,04-07-2024,Grêmio,2 - 2,SE Palmeiras
542,07-07-2024,SE Palmeiras,2 - 0,EC Bahia
543,11-07-2024,SE Palmeiras,3 - 1,Atlético GO
544,18-07-2024,Botafogo FR,1 - 0,SE Palmeiras
545,21-07-2024,SE Palmeiras,2 - 0,Cruzeiro
546,25-07-2024,Fluminense FC,1 - 0,SE Palmeiras
547,27-07-2024,SE Palmeiras,0 - 2,Vitória
548,04-08-2024,Internacional RS,1 - 1,SE Palmeiras
549,11-08-2024,Flamengo RJ,1 - 1,SE Palmeiras
550,18-08-2024,SE Palmeiras,2 - 1,São Paulo
551,24-08-2024,SE Palmeiras,5 - 0,Cuiabá
552,01-09-2024,Athletico PR,0 - 2,SE Palmeiras
553,15-09-2024,SE Palmeiras,5 - 0,Criciúma
554,22-09-2024,Vasco da Gama,0 - 1,SE Palmeiras
555,28-09-2024,SE Palmeiras,2 - 1,Atlético Mineiro
556,05-10-2024,Bragantino,0 - 0,SE Palmeiras
557,20-10-2024,Juventude,3 - 5,SE Palmeiras
558,26-10-2024,SE Palmeiras,2 - 2,Fortaleza
559,04-11-2024,Corinthians,2 - 0,SE Palmeiras
560,09-11-2024,SE Palmeiras,1 - 0,Grêmio
561,14-04-2024,São Paulo,1 - 2,Fortaleza
562,18-04-2024,Flamengo RJ,2 - 1,São Paulo
563,21-04-2024,Atlético GO,0 - 3,São Paulo
564,29-04-2024,São Paulo,0 - 0,SE Palmeiras
565,05-05-2024,Vitória,1 - 3,São Paulo
566,13-05-2024,São Paulo,2 - 1,Fluminense FC
567,02-06-2024,São Paulo,2 - 0,Cruzeiro
568,13-06-2024,Internacional RS,0 - 0,São Paulo
569,16-06-2024,Corinthians,2 - 2,São Paulo
570,19-06-2024,São Paulo,0 - 1,Cuiabá
571,23-06-2024,Vasco da Gama,4 - 1,São Paulo
572,27-06-2024,São Paulo,2 - 1,Criciúma
573,30-06-2024,São Paulo,3 - 1,EC Bahia
574,04-07-2024,Athletico PR,1 - 2,São Paulo
575,06-07-2024,São Paulo,2 - 0,Bragantino
576,12-07-2024,Atlético Mineiro,2 - 1,São Paulo
577,17-07-2024,São Paulo,1 - 0,Grêmio
578,21-07-2024,Juventude,0 - 0,São Paulo
579,24-07-2024,São Paulo,2 - 2,Botafogo FR
580,28-07-2024,Fortaleza,1 - 0,São Paulo
581,04-08-2024,São Paulo,1 - 0,Flamengo RJ
582,11-08-2024,São Paulo,1 - 0,Atlético GO
583,18-08-2024,SE Palmeiras,2 - 1,São Paulo
584,25-08-2024,São Paulo,2 - 1,Vitória
585,01-09-2024,Fluminense FC,2 - 0,São Paulo
586,15-09-2024,Cruzeiro,0 - 1,São Paulo
587,22-09-2024,São Paulo,1 - 3,Internacional RS
588,29-09-2024,São Paulo,3 - 1,Corinthians
589,05-10-2024,Cuiabá,2 - 0,São Paulo
590,17-10-2024,São Paulo,3 - 0,Vasco da Gama
591,27-10-2024,Criciúma,1 - 1,São Paulo
592,06-11-2024,EC Bahia,0 - 3,São Paulo
593,10-11-2024,São Paulo,2 - 1,Athletico PR
594,14-04-2024,Vasco da Gama,2 - 1,Grêmio
595,17-04-2024,Bragantino,2 - 1,Vasco da Gama
596,20-04-2024,Fluminense FC,2 - 1,Vasco da Gama
597,27-04-2024,Vasco da Gama,0 - 4,Criciúma
598,05-05-2024,Athletico PR,1 - 0,Vasco da Gama
599,12-05-2024,Vasco da Gama,2 - 1,Vitória
600,02-06-2024,Vasco da Gama,1 - 6,Flamengo RJ
601,14-06-2024,SE Palmeiras,2 - 0,Vasco da Gama
602,16-06-2024,Vasco da Gama,0 - 0,Cruzeiro
603,19-06-2024,Juventude,2 - 0,Vasco da Gama
604,23-06-2024,Vasco da Gama,4 - 1,São Paulo
605,27-06-2024,EC Bahia,2 - 1,Vasco da Gama
606,29-06-2024,Vasco da Gama,1 - 1,Botafogo FR
607,03-07-2024,Vasco da Gama,2 - 0,Fortaleza
608,07-07-2024,Internacional RS,1 - 2,Vasco da Gama
609,10-07-2024,Vasco da Gama,2 - 0,Corinthians
610,17-07-2024,Atlético GO,0 - 1,Vasco da Gama
611,21-07-2024,Atlético Mineiro,2 - 0,Vasco da Gama
612,28-07-2024,Grêmio,1 - 0,Vasco da Gama
613,03-08-2024,Vasco da Gama,2 - 2,Bragantino
614,11-08-2024,Vasco da Gama,2 - 0,Fluminense FC
615,18-08-2024,Criciúma,2 - 2,Vasco da Gama
616,27-08-2024,Vasco da Gama,2 - 1,Athletico PR
617,01-09-2024,Vitória,0 - 1,Vasco da Gama
618,15-09-2024,Flamengo RJ,1 - 1,Vasco da Gama
619,22-09-2024,Vasco da Gama,0 - 1,SE Palmeiras
620,29-09-2024,Cruzeiro,1 - 1,Vasco da Gama
621,06-10-2024,Vasco da Gama,1 - 1,Juventude
622,17-10-2024,São Paulo,3 - 0,Vasco da Gama
623,24-10-2024,Vasco da Gama,1 - 0,Cuiabá
624,29-10-2024,Vasco da Gama,3 - 2,EC Bahia
625,06-11-2024,Botafogo FR,3 - 0,Vasco da Gama
626,09-11-2024,Fortaleza,3 - 0,Vasco da Gama
627,14-04-2024,Vitória,0 - 1,SE Palmeiras
628,21-04-2024,Vitória,2 - 2,EC Bahia
629,28-04-2024,Cruzeiro,3 - 1,Vitória
630,05-05-2024,Vitória,1 - 3,São Paulo
631,12-05-2024,Vasco da Gama,2 - 1,Vitória
632,01-06-2024,Vitória,0 - 2,Atlético GO
633,05-06-2024,Cuiabá,0 - 0,Vitória
634,11-06-2024,Juventude,1 - 1,Vitória
635,16-06-2024,Vitória,2 - 1,Internacional RS
636,20-06-2024,Vitória,4 - 2,Atlético Mineiro
637,23-06-2024,Bragantino,2 - 1,Vitória
638,27-06-2024,Fluminense FC,0 - 1,Vitória
639,30-06-2024,Vitória,0 - 1,Athletico PR
640,04-07-2024,Corinthians,3 - 2,Vitória
641,07-07-2024,Vitória,2 - 1,Criciúma
642,12-07-2024,Vitória,0 - 1,Botafogo FR
643,18-07-2024,Fortaleza,3 - 1,Vitória
644,21-07-2024,Grêmio,2 - 0,Vitória
645,24-07-2024,Vitória,1 - 2,Flamengo RJ
646,27-07-2024,SE Palmeiras,0 - 2,Vitória
647,03-08-2024,Vitória,1 - 0,Cuiabá
648,11-08-2024,EC Bahia,2 - 0,Vitória
649,19-08-2024,Vitória,2 - 2,Cruzeiro
650,25-08-2024,São Paulo,2 - 1,Vitória
651,01-09-2024,Vitória,0 - 1,Vasco da Gama
652,14-09-2024,Atlético GO,0 - 2,Vitória
653,21-09-2024,Vitória,1 - 0,Juventude
654,29-09-2024,Internacional RS,3 - 1,Vitória
655,05-10-2024,Atlético Mineiro,2 - 2,Vitória
656,19-10-2024,Vitória,1 - 0,Bragantino
657,26-10-2024,Vitória,2 - 1,Fluminense FC
658,02-11-2024,Athletico PR,1 - 2,Vitória
659,09-11-2024,Vitória,1 - 2,Corinthians
