,date,home_team,score,away_team
106,11-06-2024,Botafogo FR,1 - 0,Fluminense FC
107,16-06-2024,Grêmio,1 - 2,Botafogo FR
108,19-06-2024,Botafogo FR,1 - 1,Athletico PR
109,22-06-2024,Criciúma,2 - 1,Botafogo FR
110,26-06-2024,Botafogo FR,2 - 1,Bragantino
111,29-06-2024,Vasco da Gama,1 - 1,Botafogo FR
112,03-07-2024,Cuiabá,1 - 2,Botafogo FR
113,07-07-2024,Botafogo FR,3 - 0,Atlético Mineiro
114,12-07-2024,Vitória,0 - 1,Botafogo FR
115,18-07-2024,Botafogo FR,1 - 0,SE Palmeiras
116,20-07-2024,Botafogo FR,1 - 0,Internacional RS
117,24-07-2024,São Paulo,2 - 2,Botafogo FR
118,28-07-2024,Botafogo FR,0 - 3,Cruzeiro
119,03-08-2024,Atlético GO,1 - 4,Botafogo FR
120,11-08-2024,Juventude,3 - 2,Botafogo FR
121,18-08-2024,Botafogo FR,4 - 1,Flamengo RJ
122,25-08-2024,EC Bahia,0 - 0,Botafogo FR
123,01-09-2024,Botafogo FR,2 - 0,Fortaleza
124,15-09-2024,Botafogo FR,2 - 1,Corinthians
125,21-09-2024,Fluminense FC,0 - 1,Botafogo FR
126,29-09-2024,Botafogo FR,0 - 0,Grêmio
127,05-10-2024,Athletico PR,0 - 1,Botafogo FR
128,18-10-2024,Botafogo FR,1 - 1,Criciúma
129,26-10-2024,Bragantino,0 - 1,Botafogo FR
130,06-11-2024,Botafogo FR,3 - 0,Vasco da Gama
131,09-11-2024,Botafogo FR,0 - 0,Cuiabá
132,14-04-2024,Fluminense FC,2 - 2,Bragantino
133,17-04-2024,Bragantino,2 - 1,Vasco da Gama
134,20-04-2024,Bragantino,1 - 0,Corinthians
135,28-04-2024,Fortaleza,1 - 1,Bragantino
136,04-05-2024,Bragantino,1 - 1,Flamengo RJ
137,12-05-2024,EC Bahia,1 - 0,Bragantino
138,01-06-2024,Grêmio,0 - 2,Bragantino
139,12-06-2024,Bragantino,1 - 2,Atlético Mineiro
140,15-06-2024,Bragantino,2 - 1,Juventude
141,21-06-2024,SE Palmeiras,2 - 1,Bragantino
142,23-06-2024,Bragantino,2 - 1,Vitória
143,26-06-2024,Botafogo FR,2 - 1,Bragantino
144,29-06-2024,Cuiabá,1 - 1,Bragantino
145,04-07-2024,Bragantino,3 - 1,Atlético GO
146,06-07-2024,São Paulo,2 - 0,Bragantino
147,13-07-2024,Cruzeiro,2 - 1,Bragantino
148,21-07-2024,Bragantino,1 - 0,Athletico PR
149,28-07-2024,Bragantino,0 - 1,Fluminense FC
150,03-08-2024,Vasco da Gama,2 - 2,Bragantino
151,11-08-2024,Corinthians,1 - 1,Bragantino
152,17-08-2024,Bragantino,1 - 2,Fortaleza
153,25-08-2024,Flamengo RJ,2 - 1,Bragantino
154,28-08-2024,Criciúma,1 - 0,Bragantino
155,01-09-2024,Bragantino,2 - 1,EC Bahia
156,15-09-2024,Bragantino,2 - 2,Grêmio
157,22-09-2024,Atlético Mineiro,3 - 0,Bragantino
158,25-09-2024,Bragantino,2 - 2,Internacional RS
159,29-09-2024,Juventude,1 - 1,Bragantino
160,05-10-2024,Bragantino,0 - 0,SE Palmeiras
161,19-10-2024,Vitória,1 - 0,Bragantino
162,26-10-2024,Bragantino,0 - 1,Botafogo FR
163,02-11-2024,Bragantino,0 - 0,Cuiabá
164,09-11-2024,Atlético GO,0 - 0,Bragantino
165,14-04-2024,Corinthians,0 - 0,Atlético Mineiro
166,17-04-2024,Juventude,2 - 0,Corinthians
167,20-04-2024,Bragantino,1 - 0,Corinthians
168,28-04-2024,Corinthians,3 - 0,Fluminense FC
169,05-05-2024,Corinthians,0 - 0,Fortaleza
170,11-05-2024,Flamengo RJ,2 - 0,Corinthians
171,02-06-2024,Corinthians,0 - 1,Botafogo FR
172,11-06-2024,Atlético GO,2 - 2,Corinthians
173,16-06-2024,Corinthians,2 - 2,São Paulo
174,20-06-2024,Internacional RS,1 - 0,Corinthians
175,23-06-2024,Athletico PR,1 - 1,Corinthians
176,26-06-2024,Corinthians,1 - 1,Cuiabá
177,01-07-2024,SE Palmeiras,2 - 0,Corinthians
178,04-07-2024,Corinthians,3 - 2,Vitória
179,07-07-2024,Cruzeiro,3 - 0,Corinthians
180,10-07-2024,Vasco da Gama,2 - 0,Corinthians
181,17-07-2024,Corinthians,2 - 1,Criciúma
182,21-07-2024,EC Bahia,0 - 1,Corinthians
183,25-07-2024,Corinthians,2 - 2,Grêmio
184,28-07-2024,Atlético Mineiro,2 - 1,Corinthians
185,04-08-2024,Corinthians,1 - 1,Juventude
186,11-08-2024,Corinthians,1 - 1,Bragantino
187,18-08-2024,Fluminense FC,0 - 0,Corinthians
188,25-08-2024,Fortaleza,1 - 0,Corinthians
